COUNT;HORN RULES (filtered)
1/72;Ålesund & mellom 50 og 60 ---> Sør Amerika
1/72;Ålesund & mellom 50 og 60 ---> advokat
1/72;Ålesund & mellom 50 og 60 ---> mann
1/72;Bergen & Afrika & kvinne ---> FALSE
1/72;Bergen & Nord Amerika & kvinne & eldre enn 60 ---> FALSE
1/72;Oslo & Europa & kvinne ---> FALSE
1/72;Trondheim & Europa & kvinne & mellom 50 og 60 ---> FALSE
1/72;frisør & Ålesund & mellom 30 og 40 & mann ---> FALSE
1/72;yngre enn 20 & Oslo & Afrika & kvinne ---> FALSE
1/72;Ålesund & Sør Amerika & eldre enn 60 ---> FALSE
1/72;Bergen & kvinne & mellom 40 og 50 ---> Asia
1/72;Bergen & kvinne & mellom 40 og 50 ---> modell
1/72;Oslo & Nord Amerika & kvinne ---> eldre enn 60
1/72;Oslo & Nord Amerika & kvinne ---> frisør
1/72;Sør Amerika & mellom 40 og 50 ---> Kristiansand
1/72;Sør Amerika & mellom 40 og 50 ---> frisør
1/72;mellom 20 og 30 & Kristiansand ---> kvinne
1/72;mellom 20 og 30 & Kristiansand ---> modell
1/72;yngre enn 20 & Asia & kvinne ---> Ålesund
1/72;yngre enn 20 & Bergen & kvinne ---> Afrika
1/72;yngre enn 20 & Bergen & kvinne ---> frisør
1/72;Ålesund & Nord Amerika & kvinne ---> frisør
1/72;Ålesund & kvinne & mellom 40 og 50 ---> frisør
1/72;Kristiansand & Australia & kvinne & eldre enn 60 ---> FALSE
1/72;Kristiansand & Nord Amerika & kvinne ---> FALSE
1/72;Trondheim & Afrika & kvinne & eldre enn 60 ---> FALSE
1/72;Bergen & kvinne & mellom 40 og 50 ---> Sør Amerika
1/72;Bergen & kvinne & mellom 40 og 50 ---> frisør
1/72;Bodø & Nord Amerika & kvinne ---> mellom 20 og 30
1/72;Bodø & kvinne & mellom 40 og 50 ---> Afrika
1/72;Bodø & kvinne & mellom 40 og 50 ---> frisør
1/72;Kristiansand & Australia & kvinne ---> mellom 40 og 50
1/72;Nord Amerika & kvinne & eldre enn 60 ---> frisør
1/72;Stavanger & kvinne & mellom 40 og 50 ---> Nord Amerika
1/72;Stavanger & mellom 30 og 40 & kvinne ---> frisør
1/72;Sør Amerika & kvinne & mellom 40 og 50 ---> Bergen
1/72;frisør & Australia & mann ---> Tromsø
1/72;frisør & Australia & mann ---> eldre enn 60
1/72;frisør & Sør Amerika & mann ---> Tromsø
1/72;frisør & Sør Amerika & mann ---> yngre enn 20
1/72;frisør & mann & eldre enn 60 ---> Australia
1/72;frisør & mellom 50 og 60 ---> kvinne
1/72;mellom 20 og 30 & Bodø & Afrika & kvinne ---> modell
1/72;mellom 20 og 30 & Kristiansand & kvinne ---> frisør
1/72;mellom 20 og 30 & Trondheim & kvinne ---> Afrika
1/72;mellom 20 og 30 & Trondheim & kvinne ---> frisør
1/72;mellom 20 og 30 & frisør & Bodø & kvinne ---> Nord Amerika
1/72;mellom 20 og 30 & Ålesund & Afrika & kvinne ---> modell
1/72;yngre enn 20 & Kristiansand & Sør Amerika & kvinne ---> frisør
1/72;Oslo & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
1/72;Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
1/72;Tromsø & Asia & kvinne & mellom 50 og 60 ---> FALSE
1/72;Tromsø & Nord Amerika & kvinne ---> FALSE
1/72;Trondheim & Australia & kvinne & eldre enn 60 ---> FALSE
1/72;frisør & Bergen & mellom 30 og 40 & mann ---> FALSE
1/72;yngre enn 20 & Ålesund & Nord Amerika ---> FALSE
1/72;Asia & kvinne & eldre enn 60 ---> Bergen
1/72;Asia & kvinne & mellom 40 og 50 ---> frisør
1/72;Bergen & Nord Amerika & kvinne ---> mellom 50 og 60
1/72;Bergen & Sør Amerika & kvinne & mellom 40 og 50 ---> modell
1/72;Kristiansand & Europa & kvinne ---> mellom 30 og 40
1/72;Kristiansand & Sør Amerika & kvinne ---> frisør
1/72;Kristiansand & mellom 30 og 40 & kvinne ---> Europa
1/72;Nord Amerika & kvinne & mellom 40 og 50 ---> modell
1/72;Oslo & kvinne & mellom 40 og 50 ---> Sør Amerika
1/72;Oslo & kvinne & mellom 40 og 50 ---> frisør
1/72;Tromsø & Afrika & kvinne ---> modell
1/72;Tromsø & Asia & kvinne ---> frisør
1/72;Tromsø & Asia & kvinne ---> mellom 50 og 60
1/72;Trondheim & Sør Amerika & kvinne ---> eldre enn 60
1/72;frisør & mellom 30 og 40 & mann ---> Bodø
1/72;mellom 20 og 30 & Afrika & kvinne ---> Kristiansand
1/72;mellom 20 og 30 & Afrika & kvinne ---> modell
1/72;mellom 20 og 30 & Kristiansand & Australia & kvinne ---> frisør
1/72;mellom 30 og 40 & Asia & kvinne ---> Trondheim
1/72;yngre enn 20 & Stavanger & kvinne ---> Asia
1/72;Ålesund & kvinne & mellom 40 og 50 ---> Afrika
1/72;Kristiansand & kvinne & mellom 50 og 60 ---> FALSE
1/72;Nord Amerika & kvinne & eldre enn 60 ---> FALSE
1/72;Oslo & Australia & kvinne ---> FALSE
1/72;Stavanger & Sør Amerika & kvinne & eldre enn 60 ---> FALSE
1/72;Tromsø & Europa & kvinne & eldre enn 60 ---> FALSE
1/72;Trondheim & Europa & kvinne & mellom 40 og 50 ---> FALSE
1/72;frisør & Afrika & mann & mellom 50 og 60 ---> FALSE
1/72;frisør & Trondheim & mann ---> FALSE
1/72;mellom 20 og 30 & Bergen & kvinne ---> FALSE
1/72;mellom 20 og 30 & Bodø & Europa & kvinne ---> FALSE
1/72;mellom 20 og 30 & Tromsø & Sør Amerika & kvinne ---> FALSE
1/72;yngre enn 20 & Sør Amerika & kvinne ---> FALSE
1/72;Afrika & kvinne & mellom 50 og 60 ---> Oslo
1/72;Afrika & kvinne & mellom 50 og 60 ---> modell
1/72;Bergen & Nord Amerika & kvinne ---> mellom 20 og 30
1/72;Bodø & Asia & kvinne & mellom 40 og 50 ---> modell
1/72;Kristiansand & kvinne & mellom 40 og 50 ---> frisør
1/72;Oslo & Europa & kvinne ---> modell
1/72;Stavanger & Europa & kvinne ---> mellom 20 og 30
1/72;Tromsø & Europa & kvinne ---> frisør
1/72;Tromsø & Europa & kvinne ---> yngre enn 20
1/72;Trondheim & kvinne & mellom 40 og 50 ---> frisør
1/72;frisør & Bergen & kvinne & mellom 50 og 60 ---> Australia
1/72;frisør & Sør Amerika ---> kvinne
1/72;frisør & mann & mellom 40 og 50 ---> Bodø
1/72;mellom 20 og 30 & Bodø & Sør Amerika & kvinne ---> frisør
1/72;mellom 20 og 30 & Nord Amerika & kvinne ---> Bergen
