ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
statsråd;4;0;0.06;0.0;-0.06
venner;0;4;0.0;0.03;0.03
petter;0;4;0.0;0.051;0.051
dommer;0;4;0.0;0.038;0.038
landslagssjef;0;4;0.0;0.029;0.029
landslagstrener;3;1;0.033;0.031;-0.002
katt;3;1;0.019;0.013;-0.006
skytter;0;4;0.0;0.021;0.021
kona;3;0;0.03;0.0;-0.03
hest;0;3;0.0;0.022;0.022
læge;1;2;0.042;0.049;0.007
tid;3;0;0.028;0.0;-0.028
ami;2;1;0.006;0.012;0.005
dreng;2;1;0.02;0.015;-0.005
admin;3;0;0.021;0.0;-0.021
moderator;2;1;0.068;0.241;0.173
helst;3;0;0.023;0.0;-0.023
singel;3;0;0.029;0.0;-0.029
stemme;3;0;0.013;0.0;-0.013
guide;2;1;0.033;0.024;-0.009
planet;3;0;0.095;0.0;-0.095
kan;3;0;0.021;0.0;-0.021
rose;2;1;0.006;0.009;0.003
driver;1;2;0.016;0.02;0.004
søndag;3;0;0.027;0.0;-0.027
sheriff;3;0;0.018;0.0;-0.018
doktor;3;0;0.02;0.0;-0.02
teolog;0;3;0.0;0.044;0.044
pave;0;3;0.0;0.044;0.044
minister;0;3;0.0;0.028;0.028
president;0;3;0.0;0.026;0.026
kirke;1;2;0.016;0.018;0.002
astronom;2;1;0.019;0.018;-0.002
mineral;3;0;0.03;0.0;-0.03
mr;0;3;0.0;0.007;0.007
marcus;0;3;0.0;0.014;0.014
fred;0;3;0.0;0.012;0.012
katolik;2;1;0.032;0.014;-0.018
##ken;3;0;0.026;0.0;-0.026
tredje;0;3;0.0;0.021;0.021
innsjø;3;0;0.056;0.0;-0.056
forsker;3;0;0.03;0.0;-0.03
fotballspillere;0;3;0.0;0.032;0.032
deg;2;1;0.043;0.025;-0.018
ambassadør;2;1;0.041;0.048;0.007
sånn;2;1;0.033;0.026;-0.007
frivillige;2;1;0.031;0.032;0.001
kommentator;1;2;0.015;0.013;-0.002
jeger;0;3;0.0;0.02;0.02
kollega;2;0;0.024;0.0;-0.024
1;0;2;0.0;0.051;0.051
fotball;1;1;0.009;0.017;0.008
asteroid;2;0;0.042;0.0;-0.042
og;0;2;0.0;0.032;0.032
mentor;0;2;0.0;0.027;0.027
datingside;0;2;0.0;0.011;0.011
muslim;0;2;0.0;0.018;0.018
match;1;1;0.086;0.01;-0.076
gulo;0;2;0.0;0.028;0.028
ett;0;2;0.0;0.014;0.014
selvstendig;1;1;0.018;0.009;-0.009
lørdag;2;0;0.018;0.0;-0.018
korte;1;1;0.01;0.009;-0.001
..;1;1;0.024;0.017;-0.007
heter;1;1;0.036;0.015;-0.021
unge;2;0;0.018;0.0;-0.018
planter;2;0;0.019;0.0;-0.019
kulle;2;0;0.059;0.0;-0.059
as;0;2;0.0;0.017;0.017
historiker;0;2;0.0;0.032;0.032
greve;0;2;0.0;0.036;0.036
kardinal;0;2;0.0;0.027;0.027
prof;0;2;0.0;0.019;0.019
opera;2;0;0.019;0.0;-0.019
bygd;2;0;0.026;0.0;-0.026
symbol;1;1;0.045;0.018;-0.028
uk;2;0;0.014;0.0;-0.014
avis;2;0;0.016;0.0;-0.016
skip;2;0;0.027;0.0;-0.027
charlotte;2;0;0.003;0.0;-0.003
n;2;0;0.014;0.0;-0.014
fly;2;0;0.012;0.0;-0.012
politik;2;0;0.021;0.0;-0.021
seks;2;0;0.012;0.0;-0.012
lise;2;0;0.018;0.0;-0.018
arts;2;0;0.022;0.0;-0.022
sarah;2;0;0.021;0.0;-0.021
nick;0;2;0.0;0.011;0.011
adam;0;2;0.0;0.007;0.007
noel;0;2;0.0;0.006;0.006
brian;0;2;0.0;0.003;0.003
mark;0;2;0.0;0.015;0.015
alf;0;2;0.0;0.011;0.011
farmer;0;2;0.0;0.026;0.026
gitarist;0;2;0.0;0.012;0.012
russisk;2;0;0.084;0.0;-0.084
v;1;1;0.016;0.014;-0.002
kunst;2;0;0.015;0.0;-0.015
engelsk;1;1;0.012;0.015;0.003
mare;2;0;0.017;0.0;-0.017
annan;0;2;0.0;0.016;0.016
libero;0;2;0.0;0.067;0.067
sponsor;0;2;0.0;0.051;0.051
eneste;1;1;0.012;0.015;0.003
historie;2;0;0.018;0.0;-0.018
gudinne;2;0;0.021;0.0;-0.021
andre;2;0;0.028;0.0;-0.028
kombinasjon;2;0;0.018;0.0;-0.018
rekonstruksjon;2;0;0.017;0.0;-0.017
dialekt;2;0;0.049;0.0;-0.049
blomst;2;0;0.013;0.0;-0.013
form;2;0;0.014;0.0;-0.014
smed;0;2;0.0;0.024;0.024
løve;0;2;0.0;0.013;0.013
fest;2;0;0.038;0.0;-0.038
gris;1;1;0.011;0.005;-0.006
anette;2;0;0.037;0.0;-0.037
bjørgen;2;0;0.092;0.0;-0.092
stabil;0;2;0.0;0.042;0.042
flyktning;0;2;0.0;0.046;0.046
kåre;0;2;0.0;0.048;0.048
klubb;0;2;0.0;0.078;0.078
skjønnhet;2;0;0.025;0.0;-0.025
perle;2;0;0.017;0.0;-0.017
konsulenter;0;2;0.0;0.026;0.026
fryd;1;1;0.015;0.024;0.009
følelse;1;0;0.025;0.0;-0.025
ball;1;0;0.022;0.0;-0.022
video;1;0;0.041;0.0;-0.041
tekst;1;0;0.025;0.0;-0.025
blog;1;0;0.012;0.0;-0.012
foto;1;0;0.007;0.0;-0.007
af;1;0;0.016;0.0;-0.016
man;1;0;0.039;0.0;-0.039
lektor;1;0;0.03;0.0;-0.03
religion;1;0;0.012;0.0;-0.012
turist;1;0;0.042;0.0;-0.042
kvinde;1;0;0.011;0.0;-0.011
stein;1;0;0.009;0.0;-0.009
levende;1;0;0.022;0.0;-0.022
biolog;1;0;0.041;0.0;-0.041
song;1;0;0.018;0.0;-0.018
name;1;0;0.012;0.0;-0.012
dans;0;1;0.0;0.007;0.007
kjærlighet;0;1;0.0;0.014;0.014
2;0;1;0.0;0.03;0.03
3;0;1;0.0;0.018;0.018
20;0;1;0.0;0.017;0.017
gate;0;1;0.0;0.014;0.014
dør;0;1;0.0;0.012;0.012
gammel;0;1;0.0;0.019;0.019
frø;0;1;0.0;0.06;0.06
traktor;0;1;0.0;0.015;0.015
hadde;1;0;0.025;0.0;-0.025
kunne;1;0;0.018;0.0;-0.018
et;1;0;0.022;0.0;-0.022
amerikansk;1;0;0.014;0.0;-0.014
puro;1;0;0.01;0.0;-0.01
bengali;1;0;0.017;0.0;-0.017
jobber;1;0;0.021;0.0;-0.021
moderne;1;0;0.01;0.0;-0.01
matcher;1;0;0.179;0.0;-0.179
denne;1;0;0.024;0.0;-0.024
visas;1;0;0.022;0.0;-0.022
beskriver;1;0;0.022;0.0;-0.022
joy;1;0;0.013;0.0;-0.013
feminist;1;0;0.016;0.0;-0.016
vakker;1;0;0.027;0.0;-0.027
virgin;1;0;0.022;0.0;-0.022
chat;1;0;0.02;0.0;-0.02
,;0;1;0.0;0.007;0.007
fan;0;1;0.0;0.024;0.024
rebel;0;1;0.0;0.021;0.021
teenager;0;1;0.0;0.02;0.02
guli;0;1;0.0;0.024;0.024
jon;0;1;0.0;0.019;0.019
type;0;1;0.0;0.013;0.013
hot;0;1;0.0;0.015;0.015
polis;0;1;0.0;0.022;0.022
som;0;1;0.0;0.021;0.021
sadan;1;0;0.018;0.0;-0.018
dyr;1;0;0.019;0.0;-0.019
serie;1;0;0.005;0.0;-0.005
arhitekt;1;0;0.026;0.0;-0.026
nunatak;1;0;0.112;0.0;-0.112
tanar;1;0;0.024;0.0;-0.024
insektsart;1;0;0.026;0.0;-0.026
orkideart;1;0;0.011;0.0;-0.011
medlem;1;0;0.025;0.0;-0.025
kanal;1;0;0.055;0.0;-0.055
ceo;1;0;0.033;0.0;-0.033
komet;1;0;0.08;0.0;-0.08
meteor;1;0;0.03;0.0;-0.03
pseudonym;1;0;0.069;0.0;-0.069
backup;0;1;0.0;0.023;0.023
producent;0;1;0.0;0.015;0.015
drake;0;1;0.0;0.011;0.011
jason;0;1;0.0;0.01;0.01
ven;0;1;0.0;0.023;0.023
vektor;0;1;0.0;0.036;0.036
mate;0;1;0.0;0.027;0.027
vei;0;1;0.0;0.129;0.129
moh;0;1;0.0;0.112;0.112
##edt;0;1;0.0;0.05;0.05
ca;0;1;0.0;0.03;0.03
consul;0;1;0.0;0.018;0.018
vind;1;0;0.018;0.0;-0.018
bin;1;0;0.017;0.0;-0.017
norge;1;0;0.012;0.0;-0.012
hannah;1;0;0.026;0.0;-0.026
lucy;1;0;0.007;0.0;-0.007
ek;1;0;0.004;0.0;-0.004
sol;1;0;0.004;0.0;-0.004
